Company,Q Number,Quarters,Performance,Weights,Index Returns,Returns,Operating Margins,ROE,ROA,Dividend Yield,Earnings Yield,Debt to Equity,Book Value Per Share,Profit Margin,Total Debt to Total Asset,,,,,,,,,,
ALLIANCE GLOBAL GROUP INC,3,9/30/22,1,0.91,-0.067316174,-0.0625,23.2746,14.2927,140858.453,16.978,35.9564,66.0716,23.0124,10.0404,31.9934,,,,,,,,,,
ALLIANCE GLOBAL GROUP INC,4,12/29/22,1,1.16,0.143757174,0.442424242,20.7509,15.3372,150600.2006,16.5311,42.1142,68.0903,23.3913,8.3266,32.7234,,,,,,,,,,
AYALA CORPORATION,4,12/29/16,0,5.65,-0.103423057,-0.147607935,22.2672,20.584,223277.968,-4.7155,8.3907,82.1776,355.4341,11.9445,33.6185,,,,,,,,,,
AYALA CORPORATION,1,3/31/17,1,6.21,0.068864902,0.156741958,27.786,23.3925,227957.907,0,0,79.7459,360.7121,10.7654,32.4506,,,,,,,,,,
AYALA CORPORATION,2,6/30/17,0,5.74,0.072683308,0.00591716,23.533,23.7287,240675.173,-4.0298,10.2314,82.2721,372.2853,12.8137,33.287,,,,,,,,,,
AYALA CORPORATION,3,9/29/17,1,6.27,0.041854304,0.141176471,26.4348,24.4172,249854.625,-3.0483,10.7768,80.1876,381.5984,14.3701,32.8652,,,,,,,,,,
AYALA CORPORATION,4,12/29/17,0,6.2,0.047358908,0.046391753,28.0503,26.1448,263067.863,0,0,87.0758,394.9296,13.6685,34.7081,,,,,,,,,,
AYALA CORPORATION,1,3/28/18,1,6.23,-0.067604768,-0.066009852,-5.1895,17.595,274888.849,0,0,85.2879,401.0155,12.7566,34.3217,,,,,,,,,,
AYALA CORPORATION,2,6/29/18,1,6.87,-0.098517136,-0.029535865,27.4062,19.1685,296577.203,0,0,88.747,407.5235,11.9616,35.3222,,,,,,,,,,
AYALA CORPORATION,3,9/28/18,0,6.85,0.011557367,0.008695652,25.0675,19.7862,324955.775,0,0,92.9862,417.5165,11.9287,36.7338,,,,,,,,,,
AYALA CORPORATION,4,12/28/18,0,6.48,0.026000368,-0.030172414,20.7364,17.5978,324884.724,0,0,90.0014,445.0795,11.609,36.2483,,,,,,,,,,
AYALA CORPORATION,1,3/29/19,0,6.38,0.060930723,0.044444444,-10.2203,16.3366,336444.076,0,0,87.882,449.4055,14.4055,34.4146,,,,,,,,,,
AYALA CORPORATION,2,6/28/19,0,6,0.009945802,-0.04893617,20.4309,13.9863,346724.28,0,0,89.0147,472.4968,13.0363,34.8134,,,,,,,,,,
AYALA CORPORATION,3,9/30/19,1,6.1,-0.027581,-0.010626398,53.7655,19.0788,362383.513,0,0,86.2155,525.3984,45.1036,35.4979,,,,,,,,,,
AYALA CORPORATION,4,12/27/19,0,5.4,0.004652227,-0.111927643,18.8208,17.6576,340855.947,-2.5144,10.0874,77.4809,532.9729,13.0509,32.6532,,,,,,,,,,
AYALA CORPORATION,1,3/31/20,0,4.65,-0.3191231,-0.40496499,9.8336,22.2617,311200.189,0,0,83.9796,513.1892,-14.8213,31.7939,,,,,,,,,,
AYALA CORPORATION,2,6/30/20,1,6.66,0.166594941,0.662387677,16.9774,20.4816,338816.073,-28.3253,22.4259,88.3936,519.7539,12.4855,33.2892,,,,,,,,,,
AYALA CORPORATION,3,9/30/20,0,6.23,-0.055332715,-0.113256113,8.6973,9.4801,357943.186,-17.7795,6.5703,92.4743,514.0337,4.1002,34.1909,,,,,,,,,,
AYALA CORPORATION,4,12/29/20,0,6.16,0.217501701,0.200290276,10.739,7.2703,348803.677,-22.7422,5.7952,85.2845,525.338,7.0569,32.4538,,,,,,,,,,
AYALA CORPORATION,1,3/31/21,0,6.09,-0.097569789,-0.105199516,10.287,7.1022,376395.611,0,0,85.8874,529.1228,9.548,33.1403,,,,,,,,,,
AYALA CORPORATION,2,6/30/21,1,6.15,0.071211174,0.081081081,12.3706,6.2052,378684.365,-0.9016,4.5848,83.6202,540.8588,10.2842,33.0255,,,,,,,,,,
AYALA CORPORATION,3,9/30/21,1,6.21,0.007384912,0.02125,11.947,7.3451,388183.27,5.561,5.0186,87.4103,550.85,9.2542,36.0394,,,,,,,,,,
AYALA CORPORATION,4,12/31/21,0,6.12,0.024414343,0.017135863,19.9609,8.8324,408927.645,-5.8064,6.032,97.1386,559.6304,16.7174,39.3337,,,,,,,,,,
AYALA CORPORATION,1,3/31/22,0,5.88,0.01134974,-0.008423586,15.8238,9.8925,414715.484,-2.0401,6.7939,89.531,573.7124,12.8574,37.5193,,,,,,,,,,
AYALA CORPORATION,2,6/30/22,0,5.02,-0.145490993,-0.27184466,9.74,9.3987,433128.852,-5.2057,6.6484,89.98,582.8602,14.1384,37.9628,,,,,,,,,,
AYALA CORPORATION,3,9/30/22,1,5.46,-0.067316174,0.026666667,16.8735,10.5639,454979.989,-11.1901,9.936,90.5191,577.4457,13.6138,37.9233,,,,,,,,,,
AYALA CORPORATION,4,12/29/22,0,5.4,0.143757174,0.128246753,11.7963,9.7138,490936.772,-3.9804,9.016,98.0239,581.376,11.0989,39.5899,,,,,,,,,,
AYALA LAND INC,4,12/29/16,0,7.55,-0.103423057,-0.184713376,22.2672,20.584,223277.968,-4.7155,8.3907,82.1776,355.4341,11.9445,33.6185,,,,,,,,,,
AYALA LAND INC,1,3/31/17,0,7.28,0.068864902,0.0328125,27.786,23.3925,227957.907,0,0,79.7459,360.7121,10.7654,32.4506,,,,,,,,,,
AYALA LAND INC,2,6/30/17,1,8.05,0.072683308,0.202723147,23.533,23.7287,240675.173,-4.0298,10.2314,82.2721,372.2853,12.8137,33.287,,,,,,,,,,
AYALA LAND INC,3,9/29/17,1,8.43,0.041854304,0.094339623,26.4348,24.4172,249854.625,-3.0483,10.7768,80.1876,381.5984,14.3701,32.8652,,,,,,,,,,
AYALA LAND INC,4,12/29/17,0,8.17,0.047358908,0.025287356,28.0503,26.1448,263067.863,0,0,87.0758,394.9296,13.6685,34.7081,,,,,,,,,,
AYALA LAND INC,1,3/28/18,0,8.1,-0.067604768,-0.078475336,-5.1895,17.595,274888.849,0,0,85.2879,401.0155,12.7566,34.3217,,,,,,,,,,
AYALA LAND INC,2,6/29/18,1,8.14,-0.098517136,-0.077858881,27.4062,19.1685,296577.203,0,0,88.747,407.5235,11.9616,35.3222,,,,,,,,,,
AYALA LAND INC,3,9/28/18,1,8.5,0.011557367,0.056728232,25.0675,19.7862,324955.775,0,0,92.9862,417.5165,11.9287,36.7338,,,,,,,,,,
AYALA LAND INC,4,12/28/18,0,8.41,0.026000368,0.013732834,20.7364,17.5978,324884.724,0,0,90.0014,445.0795,11.609,36.2483,,,,,,,,,,
AYALA LAND INC,1,3/29/19,1,8.76,0.060930723,0.10591133,-10.2203,16.3366,336444.076,0,0,87.882,449.4055,14.4055,34.4146,,,,,,,,,,
AYALA LAND INC,2,6/28/19,1,9.8,0.009945802,0.131403118,20.4309,13.9863,346724.28,0,0,89.0147,472.4968,13.0363,34.8134,,,,,,,,,,
AYALA LAND INC,3,9/30/19,1,9.81,-0.027581,-0.026574803,53.7655,19.0788,362383.513,0,0,86.2155,525.3984,45.1036,35.4979,,,,,,,,,,
AYALA LAND INC,4,12/27/19,0,9,0.004652227,-0.079878665,18.8208,17.6576,340855.947,-2.5144,10.0874,77.4809,532.9729,13.0509,32.6532,,,,,,,,,,
AYALA LAND INC,1,3/31/20,0,8.65,-0.3191231,-0.336263736,9.8336,22.2617,311200.189,0,0,83.9796,513.1892,-14.8213,31.7939,,,,,,,,,,
AYALA LAND INC,2,6/30/20,0,8.33,0.166594941,0.119205298,16.9774,20.4816,338816.073,-28.3253,22.4259,88.3936,519.7539,12.4855,33.2892,,,,,,,,,,
AYALA LAND INC,3,9/30/20,0,7.72,-0.055332715,-0.121301775,8.6973,9.4801,357943.186,-17.7795,6.5703,92.4743,514.0337,4.1002,34.1909,,,,,,,,,,
AYALA LAND INC,4,12/29/20,1,8.76,0.217501701,0.377104377,10.739,7.2703,348803.677,-22.7422,5.7952,85.2845,525.338,7.0569,32.4538,,,,,,,,,,
AYALA LAND INC,1,3/31/21,0,8.12,-0.097569789,-0.160146699,10.287,7.1022,376395.611,0,0,85.8874,529.1228,9.548,33.1403,,,,,,,,,,
AYALA LAND INC,2,6/30/21,0,7.97,0.071211174,0.049490539,12.3706,6.2052,378684.365,-0.9016,4.5848,83.6202,540.8588,10.2842,33.0255,,,,,,,,,,
AYALA LAND INC,3,9/30/21,0,7.32,0.007384912,-0.07073509,11.947,7.3451,388183.27,5.561,5.0186,87.4103,550.85,9.2542,36.0394,,,,,,,,,,
AYALA LAND INC,4,12/31/21,1,7.77,0.024414343,0.095522388,19.9609,8.8324,408927.645,-5.8064,6.032,97.1386,559.6304,16.7174,39.3337,,,,,,,,,,
AYALA LAND INC,1,3/31/22,0,7.2,0.01134974,-0.044959128,15.8238,9.8925,414715.484,-2.0401,6.7939,89.531,573.7124,12.8574,37.5193,,,,,,,,,,
AYALA LAND INC,2,6/30/22,0,6.14,-0.145490993,-0.272467903,9.74,9.3987,433128.852,-5.2057,6.6484,89.98,582.8602,14.1384,37.9628,,,,,,,,,,
AYALA LAND INC,3,9/30/22,0,5.82,-0.067316174,-0.103921569,16.8735,10.5639,454979.989,-11.1901,9.936,90.5191,577.4457,13.6138,37.9233,,,,,,,,,,
AYALA LAND INC,4,12/29/22,1,6.88,0.143757174,0.347921225,11.7963,9.7138,490936.772,-3.9804,9.016,98.0239,581.376,11.0989,39.5899,,,,,,,,,,
BANK OF THE PHILIPPINE ISLAN,4,12/29/16,0,5.15,-0.103423057,-0.154285714,40.0878,16.7611,-248300.273,-5.4653,6.4183,26.9818,37.5314,30.9176,2.8536,,,,,,,,,,
BANK OF THE PHILIPPINE ISLAN,1,3/31/17,1,5.36,0.068864902,0.13963964,36.6973,16.9997,-250836,0,0,37.3578,37.4341,28.9799,3.63,,,,,,,,,,
BANK OF THE PHILIPPINE ISLAN,2,6/30/17,0,5.27,0.072683308,0.027667984,44.6723,17.4417,-271836.282,-7.2048,7.182,35.3732,38.9337,34.8201,3.5595,,,,,,,,,,
BANK OF THE PHILIPPINE ISLAN,3,9/29/17,0,4.82,0.041854304,-0.04375,37.9948,15.9434,-262291.783,-1.0313,6.5088,24.4201,39.3032,31.2902,2.5077,,,,,,,,,,
BANK OF THE PHILIPPINE ISLAN,4,12/29/17,1,5.04,0.047358908,0.086978381,39.2356,15.9542,-264023.904,0,0,27.0078,40.5639,30.2573,2.7293,,,,,,,,,,
BANK OF THE PHILIPPINE ISLAN,1,3/28/18,1,5.86,-0.067604768,0.082331175,43.962,16.5935,-239337,0,0,46.1643,40.9354,33.1446,4.4506,,,,,,,,,,
BANK OF THE PHILIPPINE ISLAN,2,6/29/18,0,5.62,-0.098517136,-0.243589744,42.9149,15.821,-253948.202,0,0,34.7603,42.9425,33.8603,3.4937,,,,,,,,,,
